Model,Variable,Station,MAE,MBE,RMSE,CORR,NSTD,SKEW,KURTOSIS,PSS,ABE_m5,ABE_m95
wrf,TAS,hadisd,1.130949158092554,-0.2299562113672501,1.5136691758485432,0.9699529806236391,1.0297097334230028,0.1713380805712359,0.4036023945473104,0.5344946137978455,0.35419464111328125,0.9026718139648402
wrf-ctsm,TAS,hadisd,1.2302514512741645,-0.5623094977082229,1.5768861091609225,0.9726244296160699,1.0554219479584606,1.4186105418464465,0.6095371349476462,0.5262434104973641,0.514312744140625,1.8592453002929688
wrf,RH,hadisd,8.867115136324946,5.567586586203247,11.82336671905759,0.806687464584634,1.031154432794752,0.420391049590244,20.486197013462146,0.5889296355718543,3.2109669600025157,1.5671806335449077
wrf-ctsm,RH,hadisd,9.106611444457547,6.3066139341133045,12.062595002152763,0.815983705655142,1.0488471380348097,0.1644054954498777,17.351916797850578,0.6252578501031401,5.881169215251539,5.451265335083022
wrf,WIND,hadisd,1.8672179108271634,-1.601084344879427,2.3227331332636814,0.7279714452044562,1.167445530474384,0.6736961783708091,0.9612271026832918,0.677134670487106,0.46951004400000007,1.801395999999996
wrf-ctsm,WIND,hadisd,1.3671042551715757,-0.6245163976926074,1.8019153061671218,0.7054450725575765,1.113812476259117,0.5945969847591076,1.0967902284155677,0.6769054441260745,0.25077326,0.7769970399999977
wrf,TAS,maqs,1.1397993959529922,0.1244852887607754,1.5185606273174965,0.9729358162497345,1.0749200372718097,0.9812874712676062,0.26280286155296984,0.07009456264775416,0.7758951358007811,0.36705662412110485
wrf-ctsm,TAS,maqs,1.166178530862216,-0.22034326593826786,1.4956312892444106,0.9738217906591637,1.0701542265711423,0.3457237519682115,0.7436117442280592,0.07860520094562651,0.21044713775390522,1.2649326006836006
wrf,RH,maqs,8.98101190566271,7.054366893038367,11.363272014006114,0.863044168668,1.1151762074391767,0.5647867857491639,2.6845664937185942,0.20945626477541368,7.133176168579105,0.608839646118156
wrf-ctsm,RH,maqs,9.10813205612952,7.012977296491571,11.4373894386644,0.8577716443860403,1.1100076658449463,0.311236330716141,2.4118644353582006,0.16678486997635933,8.589677175659183,3.6673760979004015
wrf,WIND,maqs,2.8565890306576835,-2.8252082628328603,3.4150852185578002,0.707859647625707,2.7865727916375755,0.5490209410110996,0.9194787398108013,0.6260047281323877,0.3107170824999999,5.532901694999998
wrf-ctsm,WIND,maqs,1.6957296617677307,-1.6004230133540192,2.2252021657664063,0.6847450914219905,2.2967668207603045,0.31918944029338503,0.9204855452846641,0.3845153664302601,0.21922420950000004,3.861722060000001
wrf,TAS,whitworth,1.062169957002218,0.18302621036510802,1.4615279387680646,0.9736836133195627,1.0914975235662923,1.0930446774256086,0.1864948294874107,0.05599168783190944,1.0119340366812195,0.5077253790466614
wrf-ctsm,TAS,whitworth,1.0264078802791354,0.22829509074953988,1.3413380534894648,0.9751240719420492,1.049679857124802,0.01751304585475899,0.4054426029144995,0.06118679288847839,0.7483921177942079,0.45519621536823607
wrf,RH,whitworth,7.490738351120203,1.5440500505491592,9.710976933828553,0.8006537159884525,1.0064657475203576,0.2550790344417537,0.07795560041642546,0.10700483091787438,0.1341042271804085,0.9360607353570032
wrf-ctsm,RH,whitworth,7.506341573833187,0.07275757249230237,9.625504048237083,0.7889395350563144,0.9529752166865748,0.6932696521734245,0.06677765712916928,0.1193236714975845,1.0335344211830062,5.200514687054678
wrf,WIND,whitworth,1.7214665419214823,-1.465555249965448,2.1947001771344046,0.8303426182387715,1.4490339107919623,0.4191214444934963,0.8915572365623121,0.27208684605612654,0.07641299999999995,3.1388789666666677
wrf-ctsm,WIND,whitworth,1.2250059539662044,-0.47934427393519063,1.609954829643898,0.8000906695355093,1.3038646673075864,0.19890808870270282,0.8545634744329724,0.15255803210532393,0.19624508399999985,1.9914265666666688
wrf,TAS,sensor,1.4669684234443356,0.7596679295128962,1.994187839089927,0.9596429879780988,1.1509212867057481,1.9465458155994493,0.8174579851895916,0.09168443496801704,2.0088382873505943,0.13514758770619295
wrf-ctsm,TAS,sensor,1.4823693170443215,0.3761897445058375,1.8466922194125122,0.9607644987624171,1.1459295668163776,0.10660744132270361,0.293828940456089,0.09341684434968012,1.784592071530282,1.0361882371202533
wrf,RH,sensor,7.507770980156435,2.1820794984156002,9.676834453668341,0.8433402996975605,1.1461542690214799,0.5541740656598448,1.2988227649435564,0.13935414712582073,2.9742262717620775,4.681388730993149
wrf-ctsm,RH,sensor,8.263338702992256,2.0223846618117354,10.480936088376565,0.812835426505561,1.1496375709054074,0.15523461990499487,1.2962775913683573,0.11389521640091116,4.589616286410518,0.9010542583368846
