flux,experiment,MAE,MBE,nSD,R,5th,95th,RMSE,cRMSE,AMBE,1-nSD,1-R,nSkewness,nKurtosis,Overlap,site,model
SWup,baseline,2.98882,0.900153,1.00594,0.996055,0.478753,0.303096,4.25611,0.0892825,0.900153,0.00593617,0.00394465,0.0862786,0.178836,0.0687321,AU-Preston,CLMU5
SWup,detailed,2.73408,-0.179863,1.01329,0.996805,0.545667,2.2646,3.80392,0.0815523,0.179863,0.0132885,0.00319465,0.0268353,0.0518829,0.0630411,AU-Preston,CLMU5
LWup,baseline,12.1652,9.98145,1.19342,0.971495,5.37406,33.9359,16.9083,0.324729,9.98145,0.193418,0.0285051,0.167589,0.18983,0.0987966,AU-Preston,CLMU5
LWup,detailed,13.5749,11.7145,1.24066,0.96838,4.30536,40.8907,19.4453,0.369289,11.7145,0.240653,0.0316202,0.151606,0.131948,0.0943864,AU-Preston,CLMU5
Qle,baseline,22.9531,-3.69259,0.966173,0.70879,9.61141,12.1374,36.8456,0.750909,3.69259,0.0338282,0.29121,0.209044,0.219815,0.276042,AU-Preston,CLMU5
Qle,detailed,22.8881,-4.16534,0.974495,0.709796,9.33554,14.1312,36.9731,0.752499,4.16534,0.0255063,0.290204,0.198133,0.255786,0.306132,AU-Preston,CLMU5
Qh,baseline,21.924,4.73536,1.09048,0.947164,6.83601,21.2209,32.587,0.351314,4.73536,0.0904847,0.0528362,0.104968,0.28418,0.123674,AU-Preston,CLMU5
Qh,detailed,19.3784,3.99813,1.00439,0.949745,3.81754,5.0846,29.4346,0.31776,3.99813,0.00439298,0.0502553,0.0688289,0.240087,0.121531,AU-Preston,CLMU5
Qtau,baseline,0.147952,0.112921,1.14336,0.865883,0.011898,0.174169,0.210005,0.572048,0.112921,0.143358,0.134117,0.223907,0.382273,0.17969,AU-Preston,CLMU5
Qtau,detailed,0.14122,-0.126714,0.419023,0.853286,0.00145802,0.514009,0.245303,0.678592,0.126714,0.580977,0.146714,0.231922,0.424333,0.187804,AU-Preston,CLMU5
SWup,baseline,4.43198,-4.17249,0.886257,0.995585,0.619476,14.3059,6.96878,0.144097,4.17249,0.113743,0.00441545,0.0305711,0.119537,0.0982755,AU-SurreyHills,CLMU5
SWup,detailed,2.50679,-0.468349,0.988991,0.995412,0.554659,1.22288,3.74387,0.0958941,0.468349,0.0110087,0.00458775,0.0441777,0.891401,0.0881767,AU-SurreyHills,CLMU5
LWup,baseline,16.0888,15.897,1.11841,0.972875,13.2336,28.5568,18.3102,0.273301,15.897,0.118404,0.0271251,0.128584,0.23102,0.252912,AU-SurreyHills,CLMU5
LWup,detailed,15.6715,15.5365,1.11046,0.976466,12.5152,27.3502,17.6814,0.253906,15.5365,0.11046,0.0235336,0.0838441,0.125856,0.244314,AU-SurreyHills,CLMU5
Qle,baseline,19.6641,-7.07492,0.93588,0.535411,2.37002,11.5916,32.6957,0.934725,7.07492,0.0641201,0.464589,0.422146,0.224997,0.28173,AU-SurreyHills,CLMU5
Qle,detailed,19.583,-8.82994,0.88643,0.538869,2.46866,16.4464,32.3486,0.911273,8.82994,0.11357,0.461131,0.470883,0.279993,0.31187,AU-SurreyHills,CLMU5
Qh,baseline,20.052,-8.04263,0.845838,0.90972,13.7513,22.802,32.6348,0.420107,8.04263,0.154163,0.0902799,0.364913,0.604062,0.126866,AU-SurreyHills,CLMU5
Qh,detailed,19.7852,-9.65633,0.743503,0.914709,2.92241,40.7325,34.424,0.438884,9.65633,0.256498,0.0852909,0.304123,0.529366,0.1118,AU-SurreyHills,CLMU5
Qtau,baseline,0.128351,-0.0189391,0.915366,0.849066,0.00765719,0.105056,0.195114,0.532431,0.0189391,0.084635,0.150934,0.180486,0.495811,0.113455,AU-SurreyHills,CLMU5
Qtau,detailed,0.216213,-0.211211,0.388657,0.846148,0.00218853,0.689052,0.332018,0.702376,0.211211,0.611343,0.153852,0.215011,0.553156,0.289778,AU-SurreyHills,CLMU5
SWup,baseline,4.39876,-2.98057,0.932277,0.977329,0.761026,7.46699,6.77,0.216465,2.98057,0.0677216,0.0226706,0.0514524,1.06548,0.0841797,CA-Sunset,CLMU5
SWup,detailed,4.06736,-2.13983,0.970693,0.977338,0.755083,3.77126,6.32048,0.211787,2.13983,0.0293059,0.0226616,0.010844,0.596551,0.0750455,CA-Sunset,CLMU5
LWup,baseline,10.3981,3.22198,1.23692,0.95787,2.57159,32.621,17.0798,0.400441,3.22198,0.236914,0.0421305,0.481508,1.22798,0.0734088,CA-Sunset,CLMU5
LWup,detailed,11.1883,3.24453,1.26891,0.958658,5.29037,34.7969,17.9299,0.420989,3.24453,0.268909,0.0413418,0.431223,1.02854,0.085199,CA-Sunset,CLMU5
Qle,baseline,20.1271,1.4136,0.785062,0.683319,7.20479,11.9813,33.6272,0.737175,1.4136,0.21494,0.316681,0.0364353,0.187901,0.189764,CA-Sunset,CLMU5
Qle,detailed,21.717,6.48762,1.00469,0.698637,5.9642,17.2017,36.0551,0.778188,6.48762,0.0046903,0.301363,0.149931,0.561947,0.136524,CA-Sunset,CLMU5
Qh,baseline,24.7368,-1.08606,0.818184,0.939268,8.80929,38.92,37.6632,0.36392,1.08606,0.181819,0.0607323,0.0529818,0.207205,0.22391,CA-Sunset,CLMU5
Qh,detailed,24.1115,-11.1797,0.752942,0.946749,7.86766,64.044,40.4524,0.375802,11.1797,0.24706,0.0532509,0.033003,0.180001,0.126567,CA-Sunset,CLMU5
Qtau,baseline,0.118686,0.0831239,1.69088,0.312875,0.0122268,0.185152,0.176891,1.67362,0.0831239,0.690869,0.687125,0.0266769,0.00431962,0.32794,CA-Sunset,CLMU5
Qtau,detailed,0.057307,-0.0264046,0.59869,0.32271,0.00183731,0.105457,0.0956977,0.985913,0.0264046,0.401312,0.67729,0.0977799,0.145685,0.11763,CA-Sunset,CLMU5
SoilTemp,baseline,1.98508,-0.890951,0.926563,0.935884,0.0660722,0.777688,2.50651,0.352431,0.890951,0.073434,0.0641158,0.622518,0.587991,0.125298,CA-Sunset,CLMU5
SoilTemp,detailed,2.1377,-0.349687,1.03282,0.917474,0.433488,1.42187,2.77543,0.414181,0.349687,0.0328189,0.0825264,1.05143,0.670994,0.111918,CA-Sunset,CLMU5
SWup,baseline,8.06044,-5.26847,0.850273,0.936445,0.15666,12.276,17.4491,0.361243,5.26847,0.149737,0.0635553,0.311317,0.757191,0.0838043,FI-Kumpula,CLMU5
SWup,detailed,6.78467,-2.26935,0.935859,0.943335,0.0110179,9.28212,15.4522,0.331925,2.26935,0.0641524,0.0566647,0.0562393,0.0108115,0.0931684,FI-Kumpula,CLMU5
LWup,baseline,7.14453,3.60352,1.05947,0.982822,7.53742,21.2738,11.135,0.199839,3.60352,0.0594646,0.017178,3.17071,0.779425,0.0871568,FI-Kumpula,CLMU5
LWup,detailed,4.88711,2.06741,1.04095,0.991607,4.37012,12.5237,7.58307,0.138384,2.06741,0.0409426,0.00839318,1.84477,0.267837,0.0737738,FI-Kumpula,CLMU5
Qle,baseline,15.1662,-1.79195,0.679173,0.741322,5.6404,25.9342,25.5686,0.674021,1.79195,0.320826,0.258678,0.112968,0.237702,0.209356,FI-Kumpula,CLMU5
Qle,detailed,16.281,-4.17738,0.789757,0.690893,5.24328,17.3586,27.9263,0.729685,4.17738,0.210242,0.309107,0.0673162,0.215769,0.17715,FI-Kumpula,CLMU5
Qh,baseline,22.2035,-3.36806,0.801571,0.813917,0.383145,34.5704,34.5022,0.581112,3.36806,0.198429,0.186083,0.167082,0.263391,0.117536,FI-Kumpula,CLMU5
Qh,detailed,25.1081,-11.315,0.791994,0.782261,8.86245,42.0377,38.5137,0.623027,11.315,0.208007,0.217739,0.180208,0.232695,0.0968708,FI-Kumpula,CLMU5
SWup,baseline,17.6708,17.4403,1.60158,0.917013,2.76809,41.169,27.8359,0.792283,17.4403,0.601577,0.0829869,1.05427,1.74443,0.214352,FI-Torni,CLMU5
SWup,detailed,6.30987,2.55428,1.14162,0.902348,1.8471,4.82246,13.7386,0.492973,2.55428,0.141625,0.0976524,1.28407,2.20282,0.118356,FI-Torni,CLMU5
LWup,baseline,7.82739,1.93213,1.16929,0.981336,2.19308,31.0959,13.3133,0.2689,1.93213,0.169288,0.0186645,1.61139,1.49704,0.0905326,FI-Torni,CLMU5
LWup,detailed,5.92766,2.87252,1.13277,0.986369,0.142015,26.5361,11.165,0.220251,2.87252,0.132769,0.0136313,1.37562,1.23645,0.0679058,FI-Torni,CLMU5
Qle,baseline,16.4238,-3.70355,0.707259,0.482271,5.30499,19.8196,28.8447,0.904452,3.70355,0.292741,0.517729,0.0970974,0.184082,0.138028,FI-Torni,CLMU5
Qle,detailed,16.3492,-2.69016,0.625895,0.467999,6.1314,25.2617,28.5203,0.897724,2.69016,0.374105,0.532001,0.0414821,0.0904137,0.190048,FI-Torni,CLMU5
Qh,baseline,41.7962,-30.0994,1.01416,0.79379,12.5092,0.0393496,54.7237,0.646887,30.0994,0.0141632,0.20621,0.265864,0.204339,0.428152,FI-Torni,CLMU5
Qh,detailed,37.9378,-20.842,1.08163,0.795301,9.29606,18.442,51.7487,0.670434,20.842,0.0816318,0.204699,0.22122,0.14058,0.323047,FI-Torni,CLMU5
SWup,baseline,8.3897,-8.3635,0.858369,0.991637,2.76048,17.1048,10.4159,0.185518,8.3635,0.14163,0.00836328,0.0292136,0.0328074,0.166523,FR-Capitole,CLMU5
SWup,detailed,3.95883,-1.73007,1.04963,0.990841,2.70742,3.29674,5.22356,0.14728,1.73007,0.0496329,0.0091594,0.104706,0.168565,0.14565,FR-Capitole,CLMU5
LWup,baseline,9.14039,2.79797,1.21187,0.990349,6.35736,33.5709,14.033,0.261308,2.79797,0.21187,0.00965138,0.307203,2.33426,0.089856,FR-Capitole,CLMU5
LWup,detailed,11.4443,4.53895,1.27375,0.986375,6.91913,43.9775,18.0071,0.331131,4.53895,0.273749,0.0136246,0.382462,2.90435,0.0966273,FR-Capitole,CLMU5
Qle,baseline,14.7777,-6.59251,1.07704,0.529341,1.51688,11.2426,21.869,1.00984,6.59251,0.0770351,0.470659,1.96417,4.09314,0.341698,FR-Capitole,CLMU5
Qle,detailed,14.8223,-6.9888,1.03671,0.517553,1.33352,13.7031,21.8155,1.00083,6.9888,0.0367084,0.482447,2.02452,4.13312,0.341051,FR-Capitole,CLMU5
Qh,baseline,33.6954,-22.4273,1.13093,0.913716,16.9602,18.6852,44.0143,0.460767,22.4273,0.130933,0.0862837,0.172131,0.270915,0.349329,FR-Capitole,CLMU5
Qh,detailed,32.3403,-26.7882,0.985149,0.911964,12.0845,13.2955,43.4847,0.416746,26.7882,0.0148518,0.0880356,0.181118,0.313868,0.324917,FR-Capitole,CLMU5
Qtau,baseline,0.0523289,0.00204404,0.987071,0.893509,0.00395062,0.000870581,0.0826324,0.45869,0.00204404,0.0129293,0.106491,0.0919154,0.22955,0.0360937,FR-Capitole,CLMU5
Qtau,detailed,0.0871961,-0.0816717,0.503198,0.886763,0.00561436,0.253942,0.135541,0.600644,0.0816717,0.496802,0.113237,0.0946375,0.238606,0.221875,FR-Capitole,CLMU5
SWup,baseline,8.62049,-6.81845,0.940331,0.987577,2.69419,24.4537,12.1601,0.164083,6.81845,0.0596696,0.0124227,0.725464,0.241028,0.148674,GR-HECKOR,CLMU5
SWup,detailed,6.40918,-2.48418,1.06002,0.993187,2.71316,4.49463,8.60962,0.134339,2.48418,0.0600197,0.00681336,0.205704,0.0627312,0.0999153,GR-HECKOR,CLMU5
LWup,baseline,22.7695,17.726,1.538,0.941213,0.456208,77.5623,34.7861,0.685769,17.726,0.538,0.0587874,1.18996,0.955926,0.115093,GR-HECKOR,CLMU5
LWup,detailed,26.8563,18.5521,1.65354,0.932968,3.86035,88.1967,39.7506,0.805478,18.5521,0.653537,0.067032,1.20135,0.8832,0.136972,GR-HECKOR,CLMU5
Qle,baseline,25.6948,-17.2305,0.771948,0.185047,3.30373,56.2562,44.0526,1.14464,17.2305,0.228052,0.814953,2.36553,6.24647,0.48482,GR-HECKOR,CLMU5
Qle,detailed,25.5744,-17.2119,0.780592,0.189226,3.30373,57.7546,44.0979,1.14626,17.2119,0.219408,0.810774,2.35249,5.99571,0.479254,GR-HECKOR,CLMU5
Qh,baseline,46.4566,13.9388,1.46415,0.943133,22.6887,129.607,66.8946,0.618032,13.9388,0.464154,0.0568673,0.0754236,0.757356,0.389301,GR-HECKOR,CLMU5
Qh,detailed,41.934,10.4776,1.372,0.936917,14.7715,101.697,60.0042,0.558106,10.4776,0.371998,0.0630832,0.078747,0.811475,0.373538,GR-HECKOR,CLMU5
Qtau,baseline,0.239193,-0.23785,0.454497,0.906107,0.0177583,0.671548,0.355754,0.618806,0.23785,0.545503,0.0938925,0.119519,0.313761,0.285779,GR-HECKOR,CLMU5
Qtau,detailed,0.34876,-0.348737,0.167585,0.860785,0.0196024,1.00928,0.506748,0.859986,0.348737,0.832415,0.139215,0.0997139,0.323305,0.359047,GR-HECKOR,CLMU5
SWup,baseline,9.24219,-8.20259,0.848397,0.965897,1.46712,14.6751,12.5308,0.284339,8.20259,0.151604,0.0341025,0.248936,0.764123,0.121084,JP-Yoyogi,CLMU5
SWup,detailed,9.24219,-8.20259,0.848397,0.965897,1.46712,14.6751,12.5308,0.284339,8.20259,0.151604,0.0341025,0.248936,0.764123,0.121084,JP-Yoyogi,CLMU5
LWup,baseline,14.2473,9.71071,1.31879,0.956315,5.30566,56.8316,25.5085,0.46567,9.71071,0.318787,0.043685,2.4758,1.93012,0.0676073,JP-Yoyogi,CLMU5
LWup,detailed,14.2473,9.71071,1.31879,0.956315,5.30566,56.8316,25.5085,0.46567,9.71071,0.318787,0.043685,2.4758,1.93012,0.0676073,JP-Yoyogi,CLMU5
Qle,baseline,23.047,-9.73869,0.879689,0.448027,2.46592,24.6734,39.1033,0.992776,9.73869,0.120311,0.551973,0.6783,1.71948,0.246943,JP-Yoyogi,CLMU5
Qle,detailed,23.047,-9.73869,0.879689,0.448027,2.46592,24.6734,39.1033,0.992776,9.73869,0.120311,0.551973,0.6783,1.71948,0.246943,JP-Yoyogi,CLMU5
Qh,baseline,30.0677,12.4593,1.40569,0.890865,4.74936,77.8349,47.0277,0.68659,12.4593,0.405692,0.109135,0.0731468,0.0136038,0.129477,JP-Yoyogi,CLMU5
Qh,detailed,30.0677,12.4593,1.40569,0.890865,4.74936,77.8349,47.0277,0.68659,12.4593,0.405692,0.109135,0.0731468,0.0136038,0.129477,JP-Yoyogi,CLMU5
SWup,baseline,7.68325,-4.99848,0.789006,0.982923,4.14383,16.203,10.0984,0.267333,4.99848,0.210995,0.0170774,0.0248222,0.0634187,0.143784,KR-Jungnang,CLMU5
SWup,detailed,5.36424,1.86875,0.920601,0.982771,5.2402,1.7263,6.66774,0.195004,1.86875,0.0794001,0.0172291,0.0295835,0.0749713,0.108089,KR-Jungnang,CLMU5
LWup,baseline,11.2012,6.0788,1.16734,0.98476,2.08112,40.9071,18.1382,0.25216,6.0788,0.167341,0.0152402,1.48463,0.790506,0.0603521,KR-Jungnang,CLMU5
LWup,detailed,13.8519,10.0339,1.21556,0.979053,1.53528,52.784,23.4094,0.312077,10.0339,0.215562,0.0209467,1.68489,0.902382,0.0656776,KR-Jungnang,CLMU5
Qle,baseline,18.7763,-10.1741,0.800413,0.34781,7.30756,38.3433,31.3407,1.04109,10.1741,0.199588,0.65219,2.10682,3.23262,0.450004,KR-Jungnang,CLMU5
Qle,detailed,18.8475,-10.6226,0.767679,0.343504,7.48402,38.5112,31.2053,1.0305,10.6226,0.232323,0.656496,2.05565,3.05901,0.475902,KR-Jungnang,CLMU5
Qh,baseline,42.9525,0.994331,1.37136,0.816714,7.70255,75.1757,61.3512,0.800378,0.994331,0.371353,0.183286,0.152824,0.0114096,0.280644,KR-Jungnang,CLMU5
Qh,detailed,35.7859,-6.96227,1.13059,0.811451,3.15895,27.6553,51.5078,0.665882,6.96227,0.13059,0.188549,0.166947,0.123282,0.195514,KR-Jungnang,CLMU5
SWup,baseline,22.2064,-22.2019,0.53374,0.943223,1.97665,60.4658,33.7263,0.527264,22.2019,0.466261,0.0567775,0.62818,1.26831,0.124419,KR-Ochang,CLMU5
SWup,detailed,10.2081,5.75957,0.987345,0.940927,1.48673,6.49344,17.4353,0.341776,5.75957,0.0126566,0.0590728,0.653875,1.27638,0.12391,KR-Ochang,CLMU5
LWup,baseline,14.626,14.4413,1.12941,0.984715,11.806,43.6108,20.3691,0.226437,14.4413,0.129413,0.0152847,5.57925,0.408266,0.0814372,KR-Ochang,CLMU5
